" important for async scenario we must remove context from current thread so we always createnew rpccontext for  next invoke for  same thread	 ",positive
" user might have only specified partial list of partition keys in which case add or partition keys in partspec	 ",negative
"  entire storage is x s or xffs x s means is xffs means is 	 ",negative
" addnew table via cachedstore	 ",negative
" copy with k buffer not close	 ",negative
" test february of leap year is viewed as due to days diff from	 ",negative
" restore original values	 ",negative
" release this shared timer resource	 ",negative
" this ismapjoin but not suited forsort merge bucket map join check outer joins	 ",negative
" remove old parents	 ",negative
" all partitions are altered atomically all prehooks are fired toger followed by all post hooks	 ",negative
" no op	 ",negative
" create table must fail	 ",negative
" fetchtransactionbatch was never called we want to start with first txn	 ",negative
" create  column stats table	 ",negative
" nothing to do here silently return	 ",negative
"  copytobuffer will reposition  reread  input buffer	 ",negative
" in case of test do just close  log files do not remove m	 ",negative
" if our dbname is equal but tablename is blank we re interested in this dblevel event	 ",negative
" if doas is not enabled we pass  principalkeypad to sparksubmit in order to support  possible delegation token renewal in spark	 ",negative
" max we allow tez to pick	 ",negative
" setup our nd batch with  same column schema as  output columns plus any scratch columns since  overflow batch will get forwarded to children operators 	 ",negative
" my string enum map	 ",negative
" this is to hle synpos where pos headerend	 ",negative
" cut prefix from hive s map key	 ",negative
" tarjan s algo	 ",negative
" reset just  value columns  value buffer	 ",negative
" retrieve settings in hiveconf that aren t also set in  jobconf	 ",negative
" setup vectorizationcontext	 ",negative
" must be spark branch	 ",negative
" share  same write buffers with our value store	 ",negative
" set inner schema for dtype	 ",negative
" eir initialcapacity is too large or nexthighestpoweroftwo overflows	 ",negative
" replace  current task with  new generated conditional task	 ",negative
" security property names	 ",negative
" case max in list members max query string length kb  exact members insingle in clause	 ",negative
" nonempty java opts with bad xmx specification	 ",negative
" count	 ",negative
" if partition columns occur in data we want to remove m so find out positions of partition columns in schema provided by user we also need to update  output schema with se deletions	 ",negative
" merge work only needs input  output	 ",negative
" replace  task with  new task copy  children  parents of  old	 ",negative
" ie we are running in this constructor has  same behavior but in  default was changed to add wrapping  newlines	 ",negative
" at this point  task has been added into  queue it may have caused an eviction for some or task	 ",negative
" if we re visitingterminal we ve created ourselves just skip  keep going	 ",negative
" re could be interval where desired counter value is not populated by  time we make this check	 ",negative
" in test mode print  logs to  output	 ",negative
" after thatheuristic is used to decide	 ",negative
" max tolerable variance for matches	 ",negative
" used for sending information for scheduling priority	 ",negative
" nonjavadoc see javasqlconnection settypemapjavautilmap 	 ",negative
" already encoded to thriftable object in thriftformatter	 ",negative
" javacc originalchecksum edd e e fede cdo not edit this line 	 ",negative
" action expression	 ",negative
" sorting  keys from  properties helps to createdeterministic url which is tested for various configuration in	 ",negative
"  list is being drained cannot increase  delta anymore	 ",negative
" serialization lib	 ",negative
" mapside work	 ",negative
"  alias may not be present in case ofsubquery	 ",negative
" this is for runtime minmax pushdown don t need to do not between	 ",negative
" sigh	 ",negative
" to appropriate locations	 ",negative
" see  comment in  or issamekey	 ",negative
" second group	 ",negative
" verify that when stats are already present  forcerecompute is specified y are recomputed	 ",negative
" close  inner output stream before closing  outer output stream for chunked output this means we don t write endofdata indicator	 ",negative
" include type name for precisionscale	 ",negative
" this inspector is initialized we still need	 ",negative
" this is sql stard average of zero items should be null	 ",negative
" key index can be nullnull if re is onlysingle stripe just start fresh	 ",negative
" set vertexmanagerplugin if wher it scross product destination vertex	 ",negative
" this is not transactional	 ",negative
" negative number	 ",negative
" cannot slice compressed files	 ",negative
" notifies when memory usage is after gc	 ",negative
" accumulate  counts	 ",negative
" set primary key name if null before sending to listener	 ",negative
" unlike in mr we may call this method multiple times for each	 ",negative
" our input is repeating ie inputcolnumber 	 ",negative
" column authorization is checked through table scan operators	 ",negative
" nothing needs to be done	 ",negative
" run cleaner it should remove  delta dirs  old base dir	 ",negative
"  local batch has been consumed entirely reset it	 ",negative
" try to eat trailing blank padding	 ",negative
" set upcommon id hash for this job so that when we create any temporary directory later on it is guaranteed to be unique	 ",negative
" optional int signaturekeyid 	 ",negative
" construct  astnode for  sq column that will join with  outerquery expression so for select from r wherein select b from r this will build tok table or col identifiersq identifierb where sq is  alias generated for  subquery 	 ",negative
" make sure it isn t 	 ",negative
" int hadoopmem confgetintvarhiveconfconfvarshivehadoopmaxmem	 ",negative
" delete data ignore unknowndb cascade	 ",negative
" se two are used to indicate that we are running tests	 ",negative
" here each batch has written data  committed to bucket since table only has bucket so each of deltas has bucket  bucket flush length furrmore each bucket has now received more datalogically it s buffered but it is not yet committed	 ",negative
" if last batch is successful remove it from partsnotinms	 ",negative
" undone copied from vectormapjoinoutergenerateresultoperator	 ",negative
" validate  vectorize  reduce operator tree 	 ",negative
" any log specific settings via hiveconf will be ignored	 ",negative
" buffer is now in  heap buffer is in  list use buffer again	 ",negative
" must be old client talking ie we don t know if it s dp so be conservative	 ",negative
" forward reset key  value columns	 ",negative
" no existing shard present in  database use  current version	 ",negative
" this method is reached when error occurs while sending msg so  session must be bad	 ",negative
" partitions updated	 ",negative
" no need to release memory cache eviction	 ",negative
" move  files back to original data location	 ",negative
" throw an hivesqlexception when do async calls	 ",negative
" we need to patch  dest back to original into new query this makes assumptions about  structure of  ast	 ",negative
" round with default decimal places	 ",negative
"map to keep track of which root generated which work	 ",negative
" may need to merge with list of temp tables	 ",negative
" if  user didn t specifyserde we use  default 	 ",negative
" may be do some retry logic here	 ",negative
" loginfoegetkey egetvalue 	 ",negative
" skip this as validatecolumnname always returns true	 ",negative
"  settings in conf overlay should not be part of session config	 ",negative
" select true fields child none as nd child  none as rd	 ",negative
" do nothing by default	 ",negative
" checks  status of  rpc call throws an exception in case of error	 ",negative
" set checkpoint task as dependant to add partition tasks so if same dump is retried for bootstrap we skip current partition update	 ",negative
" return false for null	 ",negative
" error should not betimeout	 ",negative
" from metastore for security	 ",negative
" hive doesn t support primary keys using local schema with empty resultset	 ",negative
" compaction doesn t work undertransaction  hence pass null for validtxnlist	 ",negative
" warning	 ",negative
" double val	 ",negative
" note that pathtoalias will behave as if  original plan wasjoin plan	 ",negative
" nonjavadoc see orgapachehadoophiveqlsecurityauthorizationhiveauthorizationprovider authorizeorgapachehadoophiveqlmetadatatable orgapachehadoophiveqlmetadatapartition javautillist orgapachehadoophiveqlsecurityauthorizationprivilege orgapachehadoophiveqlsecurityauthorizationprivilege 	 ",negative
" no reduction but let s still test  original predicate to see if it was alreadyconstant in which case we don t need any runtime decision about filtering	 ",negative
" must be deterministic order maps see hive 	 ",negative
" vectorize this parent s children plug m into vectorparent s children list add those children vector children to nextparentlist nextvectorparentlist 	 ",negative
" put parameters to aggregations in reducevalues	 ",negative
"  overflow batch	 ",negative
"b c d t	 ",negative
" no timestamp patterns should default to normal timestamp format	 ",negative
" required required required required required required	 ",negative
" extra bytes at  end 	 ",negative
" note we assume that batchsize will be consistent with vectors passed in this is rar brittle same in or readers	 ",negative
" default	 ",negative
" allocate free allocate 	 ",negative
" list  new files in destination path which gets copied from source	 ",negative
" argument hling	 ",negative
" if all  elements are representing null n return true	 ",negative
" 	 ",negative
" reset  log buffer verify new dump without any api call does not contain func	 ",negative
" all are filtered	 ",negative
" put session into  pool	 ",negative
" first authorize  call	 ",negative
" child isn t flattened because parent is repeating null	 ",negative
" rowid f 	 ",negative
" column statistics at index contains only  number of rows	 ",negative
" from textmetadataformatter	 ",negative
" everyone has permission to write but with sticky set so that delete is restricted this is required since  path is same for all users  everyone writes into it	 ",negative
" delimiters for sql statements are any nonletterornumber characters except underscore  characters that are specified by  database to be valid name identifiers	 ",negative
" favor broad plans over deep plans 	 ",negative
" we need to keep  original list of operators in  map join to know	 ",negative
" map from primitivetypeinfo to abstractprimitivejavaobjectinspector	 ",negative
" irrelevant from eventids this can be tracked in  am itself instead of polluting  task also since we have all  mrinput events here y ll all be sent in toger	 ",negative
" if input has not been rewritten do not rewrite this rel	 ",negative
" right s signum wins	 ",negative
" read all to  world	 ",negative
" this means correated value generator wasn t generated	 ",negative
" we are done since re are no keys to check for	 ",negative
" if  start of  split points into  middle of  cached slice we cannot use  cached block it s encoded  columnar so we cannot map  file	 ",negative
" this is to keep track ifsubquery is correlated  contains aggregate this is computed in calciteplanner while planning  is later required by subuery remove rule hence this is passed using hiveplannercontext	 ",negative
" to finish for it to execute	 ",negative
" convert agg fn args to calcite	 ",negative
" entire response is written out safe to enable timeout hling	 ",negative
" see comment in objectstoregetdatasourceprops	 ",negative
" lookup  delegation token first in  connection url n configuration	 ",negative
" ensures all params are indented	 ",negative
" 	 ",negative
" return  number of columns recorded in this file s header	 ",negative
" substitution is only supported in nonbeeline mode	 ",negative
" eg  output columns does not contains  input table	 ",negative
" we need to disable join emit interval since for outer joins with post conditions we need to have  full view on  right matching rows to know wher we need to producerow with null values or not	 ",negative
" hosts per host requests at  same priority first on host next at host last with no host third should allocate on host th on host th will wait	 ",negative
" mocks hs publishing logic	 ",negative
" multikey outer get key 	 ",negative
" sqlstate errorcode should be set	 ",negative
" first need to find  min uncommitted txnid which is currently seen by any open transactions if re are no txns which are currently open or aborted in  system n current value of	 ",negative
" acid lm doesn t maintain getoutputlockobjects this if just makes logic more explicit	 ",negative
" don t use fieldschemaequals since it also compares comments which is unnecessary for this method	 ",negative
" create  required comm line options	 ",negative
" parse out  individual parts	 ",negative
" we are aborting all txns in  current batch so no need to heartbeat	 ",negative
" remove  existing partition columns from  field schema	 ",negative
" test major compaction	 ",negative
" partitionview does not have sd we do not need update its column stats	 ",negative
" hll algorithm shows stronger bias for values in m range to compensate for this short range bias linear counting is used for values before this short range  original paper also says similar bias is seen for long range values due to hash collisions in range for  default case we do not have to worry about this long range bias as  paper used bit hashing  we use bit hashing as default values are too high to observe long range bias hash collisions	 ",negative
" let  dummy op be  parent of mapjoin op	 ",negative
" we have extracted  count from  hash multiset result so we don t keep it	 ",negative
" c c c c 	 ",negative
" all columns select for example	 ",negative
" assuming  used memory is equally divided among all executors	 ",negative
" turn bytes back into identifier for cache lookup	 ",negative
" fastserializationutilsread high word multiplier multiply by digits or decimal words or or digit comma d 	 ",negative
" create expressions for project operators before  after  union	 ",negative
" make sure semijoin is not enabled if it is n do not remove  dynamic partition pruning predicates	 ",negative
" find databases which name contains to find or hidden 	 ",negative
" retain output column number from parent	 ",negative
" result grantor principal	 ",negative
" createdatabase withview	 ",negative
" ensure partition is present	 ",negative
" check if we already have initiated or are working oncompaction for this partition or table if so skip it if we are just waiting on cleaning we can still check as it may be time to compact again even though we haven t cleaned todo this is not robust you can easily run alter table to startcompaction between	 ",negative
" set rreturntype	 ",negative
" bgenjjtree typebyte 	 ",negative
" interval year month comparisons	 ",negative
" semantic error not possible must bebug convert to internal error	 ",negative
" if value too large should also be null	 ",negative
" createvalid table	 ",negative
" for use from hcatclientaddpartitions to construct from userinput	 ",negative
" record info metrics	 ",negative
" statssetupconststatdb	 ",negative
" if  last line didn t match  patterns eir  stack trace is definitely over	 ",negative
" for partial  final objectinspectors for partial aggregations list	 ",negative
" buffers in test are fakes not linked to cache notify cache policy explicitly	 ",negative
" if we did not change  db location re is no need to move  table directories	 ",negative
" check if exprnodecolumndesc is wrapped in expr	 ",negative
" in specific order 	 ",negative
" get table details from tabnametotabobject cache	 ",negative
" this should fail because txn aborted due to timeout	 ",negative
" this will abort  txn	 ",negative
" for each task set  key descriptor for  reducer	 ",negative
" dynamic partitions if no dynamic partitions are generated dppartspecs may not be initialized	 ",negative
" alternate between returning deleted  not this is easier than actually tracking operations we test that this is getting properly called by checking that only half  records show up in base files after major compactions	 ",negative
" above decimal	 ",negative
" test that existing shared write partition with new exclusive coalesces to	 ",negative
" initialize constant arguments	 ",negative
" todo determine  progress 	 ",negative
" multiply by p	 ",negative
" num rows whose output is evaluated 	 ",negative
" if it isdot operator remember  field name of  rhs of  left semijoin	 ",negative
" use udf in query	 ",negative
" we can now createmultijoin operator	 ",negative
" if this isnonlocal warehouse n adding resources from  local filesystem may mean that or clients will not be able to access  resources so disallow resources from local filesystem in this case	 ",negative
" insert overwrite not supported for acid tables	 ",negative
" perform alters infor incremental replication	 ",negative
" this is nowlifo operation	 ",negative
" get  current batch size	 ",negative
" class static variables	 ",negative
"  batchindex for  rows that are for  nelse rows respectively	 ",negative
" columns	 ",negative
" se are only used for tests	 ",negative
" now we have an archive with partitions	 ",negative
" get  partition specs	 ",negative
" validate  function name	 ",negative
" prepare buffers	 ",negative
" first name owen or foobar substrlast name  first name between david  greg 	 ",negative
" if  lock id is n re are no locks in this heartbeat	 ",negative
" xmx specified in bytes	 ",negative
"  input to  select does not matter go over  expressions	 ",negative
" initialize  object inspectors	 ",negative
" production is async functiontype name fieldlist throws commaorsemicolon	 ",negative
" wrap  client withthreadsafe proxy to serialize  rpc calls	 ",negative
" nonjavadoc see javaxsqldatasource getconnectionjavalangstring javalangstring 	 ",negative
" nonjavadoc see javasqlstatement getfetchsize 	 ",negative
" colexprmapsize size of cols from sel branch	 ",negative
" wher root tasks after materialized cte linkage have been resolved 	 ",negative
" inside our own so that we can also store requested quantile values between calls	 ",negative
" loop for middles	 ",negative
" go through each event  dump out each event toeventlevel dump dir inside dumproot	 ",negative
" end hiveaggregateprojectmergerulejava	 ",negative
" debugstacktrace egetstacktrace	 ",negative
" simple container registration  unregistration without any task attempt being involved	 ",negative
" test with null args	 ",negative
"  column number for this one column join specialization	 ",negative
" check if any left pair exists for right objects	 ",negative
" newinput	 ",negative
" nonjavadoc see javasqlstatement executeupdatejavalangstring 	 ",negative
" hivecomm is nonsql statement such as settingproperty or addingresource 	 ",negative
" nonjavadoc see javasqlstatement setquerytimeoutint 	 ",negative
" for all  source tables that havelateral view attach 	 ",negative
" by default partition  bucket columns are sorted in ascending order	 ",negative
" when creating  reader below re are read ops per bucket file liststatus  open	 ",negative
" create new projectunionproject sequences	 ",negative
" find operators which are  children of specified filterop  re are sparkpartitionpruningsink in se	 ",negative
"  one partition	 ",negative
" now allow  users to specify any pools	 ",negative
" update  object	 ",negative
" rounds	 ",negative
" now vary isrepeating nulls possible on left right	 ",negative
" anything else including boolean  string is null	 ",negative
"  task has been terminated   duck accounted for based on local state whatever we were doing is irrelevant  metrics have also been updated	 ",negative
" this test case currently fails since add partitions don t inherit anything from tables	 ",negative
" nonjavadoc see javasqlpreparedstatement setnullint int 	 ",negative
" get  lowvalue	 ",negative
" we should cancel hcat token if it was acquired by hcat  not if it was supplied ie oozie in  latter	 ",negative
" in longs producesinterval day time	 ",negative
" end of additional steps 	 ",negative
"  fix up is delayed so that  parent operators aren t modified until  entire operator tree has been vectorized 	 ",negative
" represents  schema exposed byqueryblock 	 ",negative
" block	 ",negative
" if it smove task get  path  files were moved from this is what any preceding map reduce task inferred information about  moving does not invalidate those assumptions this can happen whenconditional merge is added before  final movetask but 	 ",negative
" but for native tables we need to doprefix match for subdirectories unlike nonnative tables prefix mixups don t seem to bepotential problem here since we are always dealing with  path to something deeper than  table location	 ",negative
" data type conversion needed vectorized input file format no data type conversion check assume alter table prevented conversions that vectorizedinputfileformat cannot hle vector deserialize lazy simple capable of converting on its own lazy binary partition schema assumed to match file contents conversion necessary from partition field values to vector columns row deserialize partition schema assumed to match file contents conversion necessary from partition field values to vector columns	 ",negative
" use nonsettable struct object inspector	 ",negative
" can hle only case trunc date type	 ",negative
" raw splits	 ",negative
" of an aggregate expression from  rest of nodes	 ",negative
" we are also not supposed to call setdone since we are only part of  operation	 ",negative
" pktable db	 ",negative
" this should never happen with linked list queue	 ",negative
" need to create  table manually rar than creatingtask since it has to exist to compile  insert into t	 ",negative
" repeated string tablesread 	 ",negative
" jdoexception wrapped in metaexception wrapped in invocationexception	 ",negative
" get tmp file uri	 ",negative
" only one hs instance available cannot failover	 ",negative
" trigger movetrigger new executiontriggermove big read moveexpression new actionactiontypemove to pool etl trigger killtrigger new executiontriggerbig write kill moveexpression new actionactiontypekill query setuptriggerslistsnewarraylistmovetrigger listsnewarraylistkilltrigger string query select t under col t value from tablename t join tablename t on t under col t under col order by t under col t value list string setcmds new arraylist setcmdsaddset hivetezsessioneventsprintsummaryjson setcmdsaddset hiveexecposthooksorgapachehadoophiveqlhookspostexecwmeventssummaryprinter setcmdsaddset hiveexecfailurehooksorgapachehadoophiveqlhookspostexecwmeventssummaryprinter list string errcaptureexpect new arraylist errcaptureexpectaddworkload manager events summary errcaptureexpectadd eventtype get errcaptureexpectadd eventtype move errcaptureexpectadd eventtype kill errcaptureexpectadd eventtype return errcaptureexpectadd name move big read errcaptureexpectadd name big write kill violation in bi queue errcaptureexpectadd violationmsg trigger movetrigger violated violation in etl queue errcaptureexpectadd violationmsg trigger killtrigger violated errcaptureexpectadd subscribedcounters hdfs bytes read hdfs bytes written errcaptureexpectaddevent get pool bi cluster errcaptureexpectaddevent move pool etl cluster errcaptureexpectaddevent kill pool null cluster errcaptureexpectaddevent return pool null cluster runquerywithtriggerquery setcmds killtrigger violated errcaptureexpect 	 ",negative
" in recent hadoop versions use deleteonexit to clean tmp files	 ",negative
"  remainder	 ",negative
" generate all expressions from lateral view	 ",negative
" status	 ",negative
" should be eir select or select distinct	 ",negative
" jc is effectively final but it has to be volatile since it s accessed by different	 ",negative
"concatenation of dbname tablename  partition keyvalues	 ",negative
" production is struct thisname fieldlist 	 ",negative
" ensure task is preempted based on time match it s allocated containerid	 ",negative
" using init instead of this because  eventutilsgetdbtblnotificationfilter is an operation that needs to run before delegating to  or ctor  this messes up chaining ctors	 ",negative
" if udafs are present new columns needs to be added	 ",negative
" signature restriction to nsoe  nsoe beingflat exception prevents us from setting  cause of  nsoe as  metaexception we should not lose  info we got here but it s very likely that  metaexception is irrelevant  is actually an nsoe message so we should log it  throw an nsoe with  msg	 ",negative
" use  ugi object that got added	 ",negative
" num nulls	 ",negative
" lets try to store original column name if this column got folded this is useful for optimizations like groupbyoptimizer	 ",negative
" set  new hivesitexml	 ",negative
" insert mapside gb	 ",negative
" drain any calls which may have come in during  last execution of  loop	 ",negative
" hling of subquery expressions if where clause contains no subquery expressions n true continue filter processing else false extract subquery expressions n from where clause if this isnested subquery or nre are more than subquery expressions n yes throw unsupported error else rewrite search condition to nremove subquery predicate build qbsubquery extract correlated predicates nfrom where clause add correlated items to nselect list  group by construct join predicate nfrom correlation predicates generate plan for n modified subquery build  join condition n for parent query to subquery join build  qbjointree from  join condition update parent query filter n with any post join conditions continue filter processing endif endif support for sub queries in having clause by  large this works  same way as subqueries in  where clause  one addum is  hling of aggregation expressions from  outer query appearing in correlation clauses so such correlating predicates are allowed minouterquertx subqueryy this requires special hling when converting to joins see qbsubqueryrewrite method method for detailed comments 	 ",negative
" operator with children	 ",negative
" no crlf substitution return original line	 ",negative
" task is processed	 ",negative
" copied from acidutils so we don t have to put  code using this into ql	 ",negative
" tracks existing requests which are cycled through	 ",negative
" ifpartition has been spilled to disk its size will be ie it won t be picked	 ",negative
" evaluate  function result for each row in  partition	 ",negative
" texception	 ",negative
" create lfd even for mm ctas it snoop move but it still seems to be used for stats	 ",negative
" remove ending 	 ",negative
" create  reduce sink operator	 ",negative
" column index stream type buffers	 ",negative
" column is interpreted as  row key	 ",negative
" sortby asc	 ",negative
" call listlocatedstatus mockmocktbl call check existence of side file for mockmocktbl call open mockmocktbl call check existence of side file for mockmocktbl 	 ",negative
" optional int app attempt number 	 ",negative
" makeclone of existing hive conf	 ",negative
" supportskeytypes	 ",negative
" necessary to clean up  transaction in  db	 ",negative
" use  unparsetranslator to resolve unqualified table names	 ",negative
" no op shouldn t actually be called if it is  test will fail	 ",negative
" ssl support	 ",negative
" nonjavadoc see javasqlcallablestatement getclobint 	 ",negative
" this is  initial state forlock	 ",negative
" see  class comment hif hles mm for all input formats so if we try to hle it again in particular for  nonrecursive originalsonly getsplits call we will just get confused this bypass was not necessary when mm tables didn t support originals now that y do we use this path for anything mm table related although everything except  originals could still be hled by acidutils likeregular nontxn table	 ",negative
" ctas make  movetask s destination directory  table s destination	 ",negative
" check  root expression for final cidates	 ",negative
" now decompress or copy  data into cache buffers	 ",negative
" step merge mapjointask into  mapside of its child	 ",negative
" nonjavadoc see javasqlpreparedstatement executequery 	 ",negative
" initializingstats publisher	 ",negative
" not come from  local branch	 ",negative
" file for local	 ",negative
" verify  next write id	 ",negative
" repeating with or as nullable	 ",negative
"  output of  commonjoinoperator to  input columninfo	 ",negative
" our limit is max precision integer digits leading zeros below  dot eg has zeroes below  dot	 ",negative
" rerun constant propagation so we fold any new constants introduced by  operator optimizers	 ",negative
" request task task already started at previously set time	 ",negative
" run  cleaner thread when  cache is maxfull full	 ",negative
" trim  trailing 	 ",negative
" no localityrequested romly picknode containing free slots	 ",negative
"  udf	 ",negative
" default return  urlparam passed in asis	 ",negative
" orc files can be converted to full acid transactional tables	 ",negative
" tests for droppartitionstring db name string tbl name list string part vals boolean deletedata method	 ",negative
" latin small letter s with hook u bytes	 ",negative
" remove  table folder	 ",negative
" point old releases	 ",negative
" add root tasks to runnable	 ",negative
" 	 ",negative
" remains to copy from current read buffer less than wbsize by def	 ",negative
" location	 ",negative
" to make sure hostport pair is valid  status of  location does not matter	 ",negative
" nonjavadoc see javasqlstatement executequeryjavalangstring 	 ",negative
" here we just reuse  thread count configuration for metastore fs hler threads count since this results in better performance  number of missing partitions discovered are later added by metastore usingthreadpool of size metastore fs hler threads count if we have different sized pool here  smaller sized pool of  two becomesbottleneck	 ",negative
" you can blame this on owen	 ",negative
" if  table could not cached due to memory limit stop prewarm	 ",negative
" create  batch we will use to return data for this rg	 ",negative
" foo f 	 ",negative
"  master thread  various workers	 ",negative
" long colulmn text column	 ",negative
" has not keyword	 ",negative
" avoid tmp directories closer to 	 ",negative
"  gotduck	 ",negative
" create  work for moving  table	 ",negative
" efficiently add computed values to  last batch ofgroup key	 ",negative
" how many jobs have been started	 ",negative
" we don t do proper overlap checking because it would cost cycles  we think it will never happen we do perform  most basic check here	 ",negative
" by default assume no filter tag so we are good	 ",negative
" reset database location	 ",negative
"  partition columns are set once for  partition  are marked repeating 	 ",negative
" align  nelse types	 ",negative
"task  its child task has been converted from join to mapjoin see if  two tasks can be merged 	 ",negative
" test double double version	 ",negative
" se values are equal when txn entry is made should never be equal after st heartbeat which we	 ",negative
" but that will be specific to hdfs through storagehler mechanism 	 ",negative
" methods to setreset getnextnotification modifier	 ",negative
" construct value table desc	 ",negative
" any exact match 	 ",negative
" repl policy should be created based on  table name in context	 ",negative
" this depends on o	 ",negative
" add schemarr to relnodeschema map	 ",negative
" we don t check explicit pool match for apps both are specified on  jdbc string	 ",negative
" we always return something from getaclforpath so this should not happen	 ",negative
" no boolean value match for char field	 ",negative
" insert rs on reduce side with reduce side gb as input	 ",negative
" if it isdynamic partition throw  exception	 ",negative
" add  move task for those partitions that do not need merging	 ",negative
" extract partition desc from sorted map ascending order of part dir	 ",negative
"  timestamp column	 ",negative
" split dp split lb	 ",negative
" class variables	 ",negative
" container	 ",negative
" use only reducer in case of cartesian product	 ",negative
" add jars as we find m tomap of contents jar name so that we can avoid	 ",negative
" generateddl task  make itdependent task of  leaf	 ",negative
" limit to milliseconds only	 ",negative
" mapjoinoperator	 ",negative
" make sure it doesn t already exist	 ",negative
" convert nonskewed table to skewed table	 ",negative
"  last field single valuetrue	 ",negative
" remove table entry from sessionstate	 ",negative
" generate groupbyoperator	 ",negative
" test that listpartitionsbyfilter throws hcatexception if  partitionkey is incorrect	 ",negative
" complex pattern	 ",negative
" construct agginfo	 ",negative
" we use partition schema properties to set  partition descriptor properties if usepartschemaproperties is set to true	 ",negative
" get  semijoin rhs table name  field name	 ",negative
" all column names referenced including virtual columns used in columnaccessanalyzer	 ",negative
" see fasthivedecimalimpl for more details on se fields	 ",negative
" make sure nothing escapes this run method  kills  metastore at large	 ",negative
"  update fails because  task has terminated on  node	 ",negative
" some spark plans cause hash  or modes to get this so ignore it	 ",negative
" inputsplitinfo mrinpulpersgenerateinputsplitstomemjobconf false 	 ",negative
" sending out statusdonekilledfailed messages before taimpl knows how to hle m	 ",negative
" will need to hle an alternate workdir as well in this case derive from branch 	 ",negative
" since we have an open transaction only values above are expected	 ",negative
" just  primitive types	 ",negative
" cannot simplify we bail out	 ",negative
" evaluator results are first	 ",negative
" get  column table aliases from  expression start from as is  tok function	 ",negative
" gar gb expressions ast gb aggregations	 ",negative
" directly deserialize with  caller reading fieldbyfield  lazybinary serialization format  caller is responsible for calling  read method for  right type of each field after calling readnextfield reading some fields requireresults object to receive value informationseparate results object is created by  caller at initialization per different field even for  same type some type values are by reference to eir bytes in  deserialization buffer or to or type specific buffers so those references are only valid until  next time set is called 	 ",negative
" if  columns in row schema is not contained in column expression map n those are  aggregate columns that are added gby operator we will estimate  column statistics for those newly added columns	 ",negative
" check that  correlated variables referenced in se	 ",negative
" this ensures  incremental dump doesn t get all events for replication	 ",negative
" not relevant creating new partition	 ",negative
" for outer join remember our input rows before on expression filtering or before hash table matching so we can generate results for all rows matching  non matching	 ",negative
" dummyops isreference to all  hashtabledummy operators in  plan se have to be separately initialized when we setuptask ir function is mainly as root ops to give  mapjoin  correct	 ",negative
"  if necessary load  jars in this thread	 ",negative
" new tai lue letter high la u c bytes	 ",negative
" determine which input rel oldordinal references  adjust oldordinal to be relative to that input rel	 ",negative
" not selected	 ",negative
" expected exception due to lexer error	 ",negative
" jump to  field we want  read it	 ",negative
" used by windowing	 ",negative
" look for hivesitexml on  classpath  log its location if found	 ",negative
" want to start sufficiently high enough in  iterator stack	 ",negative
" an array of partitions holding  triplets total number of small table rows in memory  max memory limit that can be allocated  actual memory used row size of  small table wher re s any spilled partition  partition into which to spill  big table row	 ",negative
" remove filtermap for outer alias if filter is not exist on that	 ",negative
" check that subquery istop level conjuncts remove it from  where clause ast 	 ",negative
" check if  parent is coming fromtable scan if so what is  version of it	 ",negative
" for each joining table set dir for big key  small keys properly	 ",negative
" figure out who we should run  file operations as	 ",negative
" calcite literal is in millis we need to convert to seconds	 ",negative
" createnew mapredlocalwork	 ",negative
" indicates malformed version	 ",negative
" to support nested column pruning we need to track  path from  top to  nested	 ",negative
" hashbased aggregations	 ",negative
" restriction h subqueries only supported in  sql where clause 	 ",negative
" if  table is indifferent dfs than  partition replace  partition s dfs with  table s dfs	 ",negative
" classfornamenewinstance does not work if  underlying inputsplit has package visibility	 ",negative
" common class between charvarchar is string 	 ",negative
" we don t want to not exit because of an issue with logging	 ",negative
" updates p q deletes from p q p q insert p q p q  new part 	 ",negative
" v 	 ",negative
" http transport mode we set  thread local proxy username in thrifthttpservlet	 ",negative
" hive native	 ",negative
" infer sort columns from operator tree	 ",negative
" long in	 ",negative
" complete st txn	 ",negative
" leading spaces	 ",negative
" one vint without nanos	 ",negative
" routines for stubbing into writables 	 ",negative
" execdriver has no plan path so we cannot derive vrb stuff for  wrapper	 ",negative
" copy  properties from storagehler to jobproperties	 ",negative
" should never be executed	 ",negative
" replace insert overwrite by insert	 ",negative
" i value	 ",negative
" for example in  case of select from v join t t would be direct dependency	 ",negative
" check compatibility with subsequent files	 ",negative
" return false orwise	 ",negative
" we killed something but still got rejected waitbit to givechance to our previous victim to actually die	 ",negative
" setup  oi based on  input tabledef s columns  window functions 	 ",negative
" if we reached here we did not findreplication spec in  node or its immediate children defaults are to pretend replication is not happening   statement above is running asis	 ",negative
" change to new table  append stats for  new table	 ",negative
" kryo will set this or so we hope	 ",negative
" if  newposition is  same as  previousposition we ve reached  end of  binary search if  new position at least as big as  size of  split any	 ",negative
" origpathstrhdfshost for example	 ",negative
" select is udtf	 ",negative
" delete  parent temp directory of all custom dynamic partitions	 ",negative
" this is best effort optimization bail out in error conditions  try generate  execute slower plan	 ",negative
" column types of all partitioned columns used for generating partition specification	 ",negative
"  fifth could be combined again	 ",negative
" save state for future iterations	 ",negative
"  buffer can only be removed after  removed flag has been set if we are able to lock it here noone can set  removed flag  thus remove it that would also mean that  header is not free  noone will touch  header eir	 ",negative
